H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
6,3,2,1,1.5,1.0,0.5,1.8333333333333333,10,5,3,2,1.6,1.2,0.4,1.8,0,1
9,4,3,2,2.4444444444444446,0.5555555555555556,1.8888888888888888,1.6666666666666667,6,1,2,3,1.6666666666666667,1.1666666666666667,0.5,0.8333333333333334,0,1
10,3,4,3,1.0,1.2,-0.2,1.3,9,2,4,3,1.0,1.5555555555555556,-0.5555555555555556,1.1111111111111112,0,1
5,2,2,1,2.4,1.4,1.0,1.6,6,3,2,1,1.1666666666666667,0.3333333333333333,0.8333333333333334,1.8333333333333333,1,1
10,5,1,4,1.3,1.4,-0.1,1.6,7,0,2,5,0.2857142857142857,2.0,-1.7142857142857142,0.2857142857142857,0,1
8,4,3,1,1.125,0.625,0.5,1.875,6,3,3,0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1,1
6,4,0,2,1.1666666666666667,0.6666666666666666,0.5,2.0,7,1,4,2,0.7142857142857143,0.8571428571428571,-0.14285714285714285,1.0,1,1
6,4,1,1,1.6666666666666667,1.0,0.6666666666666666,2.1666666666666665,7,2,3,2,2.142857142857143,1.4285714285714286,0.7142857142857143,1.2857142857142858,1,1
6,3,2,1,1.3333333333333333,0.8333333333333334,0.5,1.8333333333333333,9,3,2,4,1.2222222222222223,1.2222222222222223,0.0,1.2222222222222223,1,1
5,0,1,4,0.6,2.2,-1.6,0.2,7,3,0,4,2.0,1.7142857142857142,0.2857142857142857,1.2857142857142858,1,1
7,5,2,0,1.8571428571428572,0.7142857142857143,1.1428571428571428,2.4285714285714284,8,7,1,0,2.5,0.75,1.75,2.75,0,1
5,1,1,3,0.6,0.8,-0.2,0.8,6,2,0,4,2.1666666666666665,1.8333333333333333,0.3333333333333333,1.0,1,1
6,2,2,2,0.8333333333333334,0.8333333333333334,0.0,1.3333333333333333,5,2,2,1,1.6,1.4,0.2,1.6,0,0
7,4,3,0,1.2857142857142858,0.5714285714285714,0.7142857142857143,2.142857142857143,7,4,2,1,1.2857142857142858,0.42857142857142855,0.8571428571428571,2.0,1,1
6,2,2,2,2.1666666666666665,1.5,0.6666666666666666,1.3333333333333333,9,4,3,2,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1,1
5,3,1,1,3.0,2.0,1.0,2.0,9,3,4,2,2.7777777777777777,0.7777777777777778,2.0,1.4444444444444444,1,1
6,1,2,3,0.6666666666666666,1.5,-0.8333333333333334,0.8333333333333334,5,2,1,2,1.0,0.8,0.2,1.4,0,0
7,5,0,2,1.2857142857142858,0.7142857142857143,0.5714285714285714,2.142857142857143,10,4,2,4,1.4,1.3,0.1,1.4,1,1
10,4,4,2,3.1,0.7,2.4,1.6,8,3,0,5,2.125,2.0,0.125,1.125,1,1
